datetime,symbol,side,entry_type,entry_price,is_entry,is_entry_plan,is_boast,is_fear,is_fear_plan,is_greed,is_stop,is_stop_plan,is_lc,is_lc_plan,is_tp,is_tp_plan
2026.01.01 00:13,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.01 00:20,USDJPY,SELL,LIMIT,157,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.01 00:43,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.01 00:47,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.01 00:50,USDJPY,BUY,LIMIT,156.84,0,0,0,0,0,0,0,1,0,0,0,0
2026.01.01 01:10,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
2026.01.01 01:11,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.01 01:19,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,1,0
2026.01.01 01:47,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.01 03:40,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.01 04:28,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.01 07:01,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
2026.01.01 07:40,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.01 23:39,USDJPY,SELL,LIMIT,156.90,0,0,0,0,0,0,0,1,0,0,0,0
