datetime,symbol,side,entry_type,entry_price,is_entry,is_entry_plan,is_boast,is_fear,is_fear_plan,is_greed,is_stop,is_stop_plan,is_lc,is_lc_plan,is_tp,is_tp_plan
2026.01.07 00:01,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 00:01,USDJPY,BUY,LIMIT,156.350,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.07 00:09,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 00:15,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 00:20,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,1,0
2026.01.07 00:36,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,1,0,1,0,0,0
2026.01.07 00:44,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,1,0
2026.01.07 00:49,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 00:51,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 01:05,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 01:26,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,1,0
2026.01.07 01:32,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 01:39,USDJPY,SELL,LIMIT,156.75,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.07 01:39,USDJPY,SELL,LIMIT,156.8,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.07 02:48,USDJPY,SELL,INSTANT,,0,0,0,0,0,1,0,0,0,0,0,0
2026.01.07 04:25,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 05:01,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 05:08,USDJPY,BUY,INSTANT,,0,0,0,0,0,1,0,0,0,0,0,0
2026.01.07 05:43,USDJPY,SELL,LIMIT,157,0,0,0,0,0,0,0,1,0,0,0,0
2026.01.07 05:50,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 06:35,USDJPY,BUY,LIMIT,156.50,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.07 06:42,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 06:43,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.07 07:20,USDJPY,BUY,LIMIT,156.1,0,0,0,0,0,0,0,0,0,0,0,1
