datetime,symbol,side,entry_type,entry_price,is_entry,is_entry_plan,is_boast,is_fear,is_fear_plan,is_greed,is_stop,is_stop_plan,is_lc,is_lc_plan,is_tp,is_tp_plan
2025.12.29 08:13,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 08:53,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 09:07,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 09:17,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.29 09:28,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.29 09:43,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 09:54,USDJPY,SELL,INSTANT,,0,0,1,0,0,0,0,0,0,0,0,0
2025.12.29 09:58,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 11:32,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 13:32,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 14:05,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 17:57,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.29 18:02,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 18:12,USDJPY,BUY,LIMIT,156.2,0,0,0,0,0,0,0,1,0,0,0,0
2025.12.29 18:29,USDJPY,BUY,LIMIT,156.15,0,0,0,0,0,0,0,1,0,0,0,0
2025.12.29 20:29,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 20:53,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 21:08,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 21:08,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
2025.12.29 21:14,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 22:57,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 23:08,USDJPY,BUY,LIMIT,156.07,0,1,0,0,0,0,0,0,0,0,0,0
2025.12.29 23:12,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 23:37,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.29 23:54,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
