datetime,symbol,side,entry_type,entry_price,is_entry,is_entry_plan,is_boast,is_fear,is_fear_plan,is_greed,is_stop,is_stop_plan,is_lc,is_lc_plan,is_tp,is_tp_plan
2026.01.16 00:00,USDJPY,SELL,LIMIT,157.9,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:03,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:04,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:04,USDJPY,SELL,INSTANT,,1,0,0,0,0,1,0,0,0,0,0,0
2026.01.16 00:05,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:06,USDJPY,SELL,INSTANT,,1,0,0,0,0,1,0,0,0,0,0,0
2026.01.16 00:09,USDJPY,SELL,INSTANT,,1,0,1,0,0,1,0,0,0,0,0,0
2026.01.16 00:10,USDJPY,SELL,INSTANT,,0,0,0,0,0,1,0,0,0,0,0,0
2026.01.16 00:11,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:12,USDJPY,SELL,INSTANT,,1,0,0,0,0,1,0,0,0,0,0,0
2026.01.16 00:13,USDJPY,BUY,LIMIT,158.55,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.16 00:15,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:17,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:23,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,1,0,0
2026.01.16 00:29,USDJPY,SELL,LIMIT,158.4,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:31,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.16 00:34,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:36,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 00:40,USDJPY,SELL,INSTANT,,1,0,0,0,0,1,0,0,0,0,0,0
2026.01.16 00:43,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,1
2026.01.16 00:51,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
2026.01.16 00:59,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 01:00,USDJPY,SELL,INSTANT,,0,0,0,0,0,1,0,0,0,0,0,0
2026.01.16 01:02,USDJPY,SELL,LIMIT,157.8,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.16 01:06,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 01:10,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,1
2026.01.16 01:12,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 01:16,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 01:17,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.16 01:21,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.16 01:22,USDJPY,SELL,INSTANT,,1,0,0,0,0,1,0,0,0,0,0,0
2026.01.16 01:28,USDJPY,SELL,INSTANT,,0,0,1,0,0,0,0,0,0,0,0,0
2026.01.16 01:28,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.16 01:46,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
