datetime,symbol,side,entry_type,entry_price,is_entry,is_entry_plan,is_boast,is_fear,is_fear_plan,is_greed,is_stop,is_stop_plan,is_lc,is_lc_plan,is_tp,is_tp_plan
2026.01.13 00:01,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 01:31,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 01:52,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 02:21,USDJPY,SELL,LIMIT,158.2,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 02:28,USDJPY,BUY,LIMIT,156.5,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 02:28,USDJPY,SELL,LIMIT,159,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.13 05:50,USDJPY,SELL,LIMIT,159,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.13 05:54,USDJPY,SELL,LIMIT,158.20,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 06:41,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 07:23,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 07:30,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 07:41,USDJPY,BUY,LIMIT,158.100,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 08:04,USDJPY,SELL,LIMIT,158.38,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 08:17,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 08:19,USDJPY,BUY,LIMIT,158,0,0,0,0,0,0,0,1,0,0,0,0
2026.01.13 08:46,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 08:46,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 08:55,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 09:06,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 09:11,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 09:46,USDJPY,BUY,LIMIT,158,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 09:58,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 10:09,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 10:14,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 10:53,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 10:53,USDJPY,SELL,LIMIT,158.55,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.13 11:11,USDJPY,SELL,LIMIT,158.80,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 12:09,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 12:52,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 13:04,USDJPY,BUY,INSTANT,,1,0,0,0,0,1,0,0,0,0,0,0
2026.01.13 13:04,USDJPY,SELL,LIMIT,159,0,0,0,0,0,0,0,1,0,0,0,0
2026.01.13 13:07,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 13:59,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 13:59,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 14:10,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 14:12,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 14:12,USDJPY,BUY,LIMIT,158.50,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.13 14:46,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 14:53,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 15:07,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 15:10,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 15:13,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 15:14,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 15:15,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 16:08,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 16:12,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
2026.01.13 16:12,USDJPY,BUY,LIMIT,158.65,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 16:12,USDJPY,BUY,LIMIT,158.70,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 16:43,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 16:43,USDJPY,SELL,LIMIT,158.940,0,0,0,0,0,0,0,1,0,0,0,0
2026.01.13 16:43,USDJPY,SELL,LIMIT,159.350,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 16:43,USDJPY,SELL,LIMIT,160.35,0,0,0,0,0,0,0,1,0,0,0,0
2026.01.13 17:52,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 17:52,USDJPY,SELL,LIMIT,159.25,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.13 17:53,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 17:55,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 18:46,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 18:50,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 18:50,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 18:59,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 19:00,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 19:04,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 19:47,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 20:11,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,1,0,1,0,0,0
2026.01.13 21:02,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 21:19,USDJPY,SELL,LIMIT,159.8,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 21:47,USDJPY,SELL,LIMIT,159.8,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.13 22:03,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 22:03,USDJPY,SELL,LIMIT,160,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.13 22:13,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 22:56,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 23:01,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 23:43,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.13 23:49,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.13 23:58,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
