datetime,symbol,side,entry_type,entry_price,is_entry,is_entry_plan,is_boast,is_fear,is_fear_plan,is_greed,is_stop,is_stop_plan,is_lc,is_lc_plan,is_tp,is_tp_plan
2026.01.10 00:03,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.10 00:14,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 00:14,USDJPY,SELL,LIMIT,159,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.10 00:25,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 00:30,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
2026.01.10 00:30,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 00:44,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.10 00:44,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.10 00:53,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 01:44,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 02:17,USDJPY,BUY,LIMIT,156.2,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.10 02:17,USDJPY,BUY,LIMIT,153.2,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.10 03:01,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 03:39,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.10 03:39,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 04:33,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 05:57,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.10 07:56,USDJPY,SELL,LIMIT,158,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.10 07:56,USDJPY,SELL,LIMIT,158,0,0,0,0,0,0,0,0,0,0,0,1
